Sequence,Date
15-17-18-32-34-43,2020-01-01
1-9-10-14-23-37,2020-01-04
8-13-16-34-37-42,2020-01-06
6-19-20-22-25-38,2020-01-08
9-19-34-37-39-47,2020-01-11
1-2-13-14-24-38,2020-01-13
9-15-22-27-37-40,2020-01-15
24-31-41-43-47-49,2020-01-18
22-25-27-37-38-40,2020-01-20
2-4-14-19-27-30,2020-01-22
5-9-16-25-26-43,2020-01-25
19-29-35-42-44-49,2020-01-27
3-5-22-23-35-42,2020-01-29
5-20-31-41-44-49,2020-02-01
14-19-26-30-31-45,2020-02-03
18-27-36-40-43-49,2020-02-05
3-5-9-15-30-47,2020-02-08
2-4-15-34-47-49,2020-02-10
9-18-21-23-28-40,2020-02-12
9-14-21-33-38-49,2020-02-15
10-16-25-38-45-46,2020-02-17
3-4-13-17-41-48,2020-02-19
2-8-9-38-39-45,2020-02-22
2-10-13-18-21-42,2020-02-24
1-23-24-28-45-48,2020-02-26
1-13-14-20-39-41,2020-02-29
10-30-32-34-38-47,2020-03-02
5-7-16-23-36-37,2020-03-04
6-13-29-37-43-48,2020-03-07
17-19-28-33-37-42,2020-03-09
3-13-14-23-31-48,2020-03-11
8-12-17-22-29-35,2020-03-14
7-25-26-46-47-48,2020-03-16
4-24-29-30-37-43,2020-03-18
5-10-25-28-33-36,2020-03-21
12-17-18-30-39-45,2020-03-23
7-8-10-29-32-33,2020-03-25
1-7-16-27-29-40,2020-03-28
9-14-30-33-45-47,2020-03-30
4-18-24-26-42-44,2020-04-01
1-3-15-26-35-43,2020-04-04
6-24-33-41-44-49,2020-04-06
7-14-16-19-27-49,2020-04-08
2-3-11-12-16-28,2020-04-11
9-23-26-28-30-48,2020-04-13
5-14-16-42-47-49,2020-04-15
3-5-13-16-28-34,2020-04-18
1-3-5-7-31-39,2020-04-20
1-23-25-29-41-45,2020-04-22
8-13-15-32-36-38,2020-04-25
8-9-11-28-37-43,2020-04-27
3-23-26-33-42-45,2020-04-29
5-34-38-41-44-45,2020-05-02
2-6-30-31-40-42,2020-05-04
12-14-15-18-31-43,2020-05-06
1-4-13-19-26-30,2020-05-09
5-7-10-15-21-43,2020-05-11
15-18-22-29-43-46,2020-05-13
11-12-16-32-41-45,2020-05-16
16-29-32-33-35-43,2020-05-18
7-10-24-34-37-45,2020-05-20
5-21-23-33-37-42,2020-05-23
6-8-25-35-42-46,2020-05-25
8-24-25-29-33-44,2020-05-27
12-15-29-36-44-49,2020-05-30
12-13-16-18-23-48,2020-06-01
4-12-24-28-46-48,2020-06-03
7-10-14-25-38-41,2020-06-06
9-12-30-38-40-43,2020-06-08
7-8-16-41-42-45,2020-06-10
4-12-26-31-39-49,2020-06-13
12-14-15-25-28-31,2020-06-15
12-19-23-32-41-49,2020-06-17
4-6-9-32-39-40,2020-06-20
2-12-25-26-31-32,2020-06-22
3-6-32-39-41-43,2020-06-24
3-18-27-32-35-40,2020-06-27
5-6-12-17-19-47,2020-06-29
9-10-12-19-35-43,2020-07-01
4-5-9-29-34-41,2020-07-04
